prospect_id,channel_name,handle,channel_url,niche,subscriber_range,recent_upload_date,fit_score,opportunity_category,contact_source_url,contact_status,approval_status
COOK-001-P001,The Defined Dish,@thedefineddish,https://www.youtube.com/@thedefineddish,cooking,1k_100k,,73,weak_descriptions,https://thedefineddish.com/contact/,Contact route available — automated email unavailable,none
COOK-001-P002,Love & Lemons,@lovelemonsfood,https://www.youtube.com/@lovelemonsfood,cooking,1k_100k,,73,weak_descriptions,https://loveandlemons.com/contact/,Contact route available — automated email unavailable,none
COOK-001-P003,TAYLOR KITCHEN,@taylorkitchen5226,https://www.youtube.com/@taylorkitchen5226,cooking,1k_100k,,73,weak_descriptions,https://www.taylorkitchen.net/about.html,source_recorded_unverified,none
COOK-001-P004,Kelvin's Kitchen,@kelvinskitchen,https://www.youtube.com/@kelvinskitchen,cooking,1k_100k,,73,weak_descriptions,https://kelvinskitchen.com/contact/,Contact route available — automated email unavailable,none
COOK-001-P005,Sohla and Ham,@sohlaandham,https://www.youtube.com/@sohlaandham,cooking,1k_100k,,73,weak_descriptions,https://www.hellosohla.com/contact,Contact route available — automated email unavailable,none
COOK-001-P006,Erin Clarke,@wellplated,https://www.youtube.com/@wellplated,cooking,1k_100k,,73,weak_descriptions,https://www.wellplated.com/contact/,Contact route available — automated email unavailable,none
COOK-001-P007,Pinch of Yum,@pinchofyum,https://www.youtube.com/@pinchofyum,cooking,1k_100k,,73,weak_descriptions,https://pinchofyum.com/contact,Contact route available — automated email unavailable,none
COOK-001-P008,I povarenok,@ipovarenok5244,https://www.youtube.com/@ipovarenok5244,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P009,MARIE'S HOME COOKING IDEAS!,@marieshomecooking,https://www.youtube.com/@marieshomecooking,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P010,Лелькины Вкусняшки,@olga_egorova_food,https://www.youtube.com/@olga_egorova_food,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P011,Na-Kostre.ru | На-Костре.ру,@na-kostre,https://www.youtube.com/@na-kostre,cooking,1k_100k,,73,weak_descriptions,https://www.na-kostre.ru/,source_recorded_unverified,none
COOK-001-P012,Remy's Home cooking,@remyshomecooking2493,https://www.youtube.com/@remyshomecooking2493,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P013,Дарія Даріко,@recepti_dariko,https://www.youtube.com/@recepti_dariko,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P014,Кулінарні рецепти від тещі Олі,@u_teshchi_oli,https://www.youtube.com/@u_teshchi_oli,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P015,Турецкая кухня дома.,@vkusno_i_prosto,https://www.youtube.com/@vkusno_i_prosto,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P016,Готовим Каждый День,@gotovim365,https://www.youtube.com/@gotovim365,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P017,Щира господиня,@shira_gospodiny,https://www.youtube.com/@shira_gospodiny,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P018,Кулінарні витівки,@kulinarny_vytivky,https://www.youtube.com/@kulinarny_vytivky,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P019,VKAZANE,@vkazane,https://www.youtube.com/@vkazane,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P020,Ambitious Kitchen,@ambitiouskitchen,https://www.youtube.com/@ambitiouskitchen,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P021,Our Salty Kitchen,@oursaltykitchen,https://www.youtube.com/@oursaltykitchen,cooking,1k_100k,,65,weak_descriptions,,none,none
COOK-001-P022,Omnivore's Cookbook,@omnivorescookbook,https://www.youtube.com/@omnivorescookbook,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P023,Home Cook Basics,@homecookbasics,https://www.youtube.com/@homecookbasics,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P024,Kimchimari,@kimchimari,https://www.youtube.com/@kimchimari,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P025,My Korean Kitchen,@mykoreankitchen,https://www.youtube.com/@mykoreankitchen,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P026,Okonomi Kitchen,@okonomikitchen,https://www.youtube.com/@okonomikitchen,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P027,Chopstick Chronicles,@chopstickchronicles,https://www.youtube.com/@chopstickchronicles,cooking,1k_100k,,50,weak_descriptions,,none,none
COOK-001-P028,Sudachi | Japanese Recipes | Yuto Omura,@sudachirecipes,https://www.youtube.com/@sudachirecipes,cooking,1k_100k,,50,weak_descriptions,https://sudachirecipes.com/contact-us/,official_mailto_verified_2026-08-26,none
